#dumpmacys,miscellaneous
#robotrubio,negative about opponent
#nascar,event
#billygraham,miscellaneous
#greta,miscellaneous
#bptw,miscellaneous
#juangabriel,minorities
#jimmyfallon,media
#opioidawarenessweek,other policy issues
#oh,geographic
#thegreatest,miscellaneous
#trumponly,slogans
#tpp,foreign policy
#newyork,geographic
#actonclimate,other policy issues
#yas,miscellaneous
#estoyconella,slogans
#zadrogaact,other policy issues
#tcot,miscellaneous
#understandslavery,minorities
#virwinia,nomination
#trumpwon,slogans
#womenshistorymonth,women's rights
#pundits,media
#trumparmy,slogans
#mormon,miscellaneous
#equalpaycantwait,women's rights
#dtmag,media
#nat,miscellaneous
#ugpride2016,miscellaneous
#neilcavuto,media
#americans,miscellaneous
#trumpforpresident,slogans
#election2016,slogans
#trumplv,slogans
#latinaequalpay,minorities
#leo,miscellaneous
#tryme,miscellaneous
#orprimary,nomination
#wiprimary,nomination
#stamina,miscellaneous
#iaforums,nomination
#racine,miscellaneous
#wisconsin,geographic
#supportstrump,slogans
#lonestarstate,geographic
#missuniverse2015,miscellaneous
#standwithpp,women's rights
#raleigh,geographic
#newday,miscellaneous
#olmstead,other policy issues
#t,miscellaneous
#imwith,slogans
#votetrumpwi,nomination
#hispanicheritagemonth,minorities
#kansascaucus,nomination
#lightweightsenatormarcorubio,negative about opponent
#hannity,media
#alwaystrump,slogans
#alsmithdinner,event
#parisagreement,other policy issues
#nps100,other policy issues
#women4ttump,slogans
#voted,voting
#creatorsaskhrc,miscellaneous
#tdor,other policy issues
#ontherecord,media
#imwithher,slogans
#wearebernie,slogans
#watch,miscellaneous
#nationalvoterregistrationday,voting
#hypocrisy,miscellaneous
#idpd,other policy issues
#bamafortrump,slogans
#debatenight,debates
#obamacareinthreewords,other policy issues
#utcaucus,nomination
#bengazi,foreign policy
#votaarizona,voting
#brexitvote,foreign policy
#iacaucus,nomination
#neverhillary,slogans
#ca4trump,slogans
#northcarolina,geographic
#demforum,nomination
#fightforfamilies,other policy issues
#imwithtim,slogans
#nyprimary,nomination
#utahprimary,nomination
#ohio,geographic
#docinmich,miscellaneous
#womenwhodare,women's rights
#whyisupporttrump,slogans
#iwd2016,women's rights
#restorethevra,us government
#shewon,women's rights
#pjnet,media
#sallyride,women's rights
#usmc2016,event
#diadelatierra,other policy issues
#cruzfraud,negative about opponent
#fox,media
#holocaustmemorialday,miscellaneous
#povertyawareness,other policy issues
#newyorkvalues,miscellaneous
#trumppence16,slogans
#letsdothis,slogans
#tump2016,slogans
#cripthevote,other policy issues
#defendthesecond,other policy issues
#itisntabouther,slogans
#riggedsystem,us government
#rosanelleaton,minorities
#blackwomensequalpay,minorities
#thetyleroakleyshow,media
#cesarchavez,minorities
#smallbiz,other policy issues
#democraticsitin,political party
#bordercontrol,other policy issues
#polls,voting
#strongertogether,slogans
#unload,miscellaneous
#fns,miscellaneous
#charleston9,miscellaneous
#demconvention,nomination
#crippledamerica,us government
#marybrigidmcmanamon,miscellaneous
#foxnews,media
#laurencetribe,miscellaneous
#6days,miscellaneous
#hotsteam,miscellaneous
#earlyvote,voting
#rigged,us government
#victory,miscellaneous
#americanunity,miscellaneous
#hrcle,slogans
#nhprimary,nomination
#selma51,miscellaneous
#demsinphl,nomination
#dday,miscellaneous
#obamacarefailed,other policy issues
#cnn,media
#missuniverse,miscellaneous
#donaldtrump,slogans
#debate2016,debates
#deprimary,nomination
#duckdynasty,media
#kimmel,media
#maga,slogans
#trumpiswithyou,slogans
#jobs,other policy issues
#electionday,voting
#votelove,slogans
#m,miscellaneous
#hispanicsfortrump,slogans
#presidents,us government
#earthday,other policy issues
#pence,slogans
#voterregistra,voting
#armedforcesday,other policy issues
#ussyorktown,other policy issues
#grammys,event
#obamacare-,other policy issues
#teamtrump,slogans
#ted,negative about opponent
#googletrends,media
#internationalnursesday,other policy issues
#coastguardday,other policy issues
#transdayofvisibility,other policy issues
#imwit,slogans
#gunsinamerica,other policy issues
#biloxi,geographic
#iwillvote,voting
#diwali,event
#tbt,miscellaneous
#wimbledon,miscellaneous
#rememberourvets,other policy issues
#thankavet,other policy issues
#stillfighting,miscellaneous
#maitnerstrong,miscellaneous
#teacherappreciationday,other policy issues
#theyrmad,miscellaneous
#cybermonday,miscellaneous
#scotus,us government
#noloyalty,miscellaneous
#worktogether,miscellaneous
#demdebate,debates
#laborday,miscellaneous
#bhm,minorities
#periscope,media
#nato,foreign policy
#utah,geographic
#maralago,geographic
#obamacare--dummy,other policy issues
#88,miscellaneous
#trumpsctownhall,nomination
#womancard,women's rights
#donaldtrumpforpresident,slogans
#iowa,geographic
#thanksobama,other policy issues
#ivoted,voting
#iowan,geographic
#leadright2016,slogans
#ohvotesea,voting
#il,miscellaneous
#roe43,women's rights
#earlyvote4her,voting
#blacksfortrump,slogans
#nhpolitics,us government
#trump4president,slogans
#americafirst,slogans
#pearlharbor,miscellaneous
#robartsarena,miscellaneous
#politicallycorrect,miscellaneous
#voterregistrationday,voting
#trumpwaikiki,miscellaneous
#repmikekelly,us government
#fl,geographic
#cesarchavezday,minorities
#votetrumpmi,slogans
#trumppence2016,slogans
#excellent,miscellaneous
#hillarycarefail,other policy issues
#100yearsstrong,miscellaneous
#paytoplay,miscellaneous
#amazon,miscellaneous
#arizona,geographic
#2a,miscellaneous
#harveypitt,us government
#lppw2016,other policy issues
#ncvotesear,voting
#wh,miscellaneous
#endleadpoisoningnow,other policy issues
#hillyes,slogans
#enough,miscellaneous
#vpdebates,debates
#irandeal,foreign policy
#fairandbalancedmyass,media
#solidarity,miscellaneous
#gop,political party
#dncleak,negative about opponent
#debate-,debates
#imwithhernandez,minorities
#trumpornobody2016,slogans
#military,other policy issues
#wrong,miscellaneous
#draintheswamp,us government
#kentuckyderby,event
#flythew,miscellaneous
#internationalwomensday,women's rights
#thanksabby,miscellaneous
#standtogether,slogans
#fail,miscellaneous
#mississippi,geographic
#establishment,us government
#mannequinchallenge,miscellaneous
#fallontonight,media
#hrcinsc,nomination
#trumpdallas,slogans
#snowflakegardenbrunch-,event
#abc2020,media
#imwi,slogans
#derp,miscellaneous
#facebooklive,media
#syrianrefugees,foreign policy
#dayofthegirl,women's rights
#cruzcrew,slogans
#crookedhillary,negative about opponent
#lyingted,negative about opponent
#2,miscellaneous
#superbowlsunday,event
#mediafraud,media
#trump,slogans
#indprimary,nomination
#womensequalityday,women's rights
#becool,miscellaneous
#morningjoe,media
#doyourjob,miscellaneous
#stopcommoncore,other policy issues
#voting,voting
#commoncore,other policy issues
#trumpineverett,event
#de,miscellaneous
#mdw,miscellaneous
#americagreatagain,slogans
#frozen,media
#debatenigh,debates
#2016,miscellaneous
#icaucused,nomination
#vote,voting
#terencecrutcher,minorities
#gopincle,nomination
#turkey,foreign policy
#trump2016,slogans
#secondamendment,other policy issues
#demsinphil,nomination
#ut,geographic
#bigleaguetrut,slogans
#arizonaprimary,nomination
#lesm,media
#votetrumpnh,slogans
#trumpinstagram,media
#democratsfortrump,slogans
#houstonflood,event
#trumpmovement,slogans
#wcs16,nomination
#shesworthit,slogans
#armybday,other policy issues
#upupup,miscellaneous
#teamusa,miscellaneous
#nevadacaucus,nomination
#netneutrality,other policy issues
#votetrumpnc,voting
#rubio-,negative about opponent
#cbsnews,media
#repealobamacare,other policy issues
#basementdwellers,miscellaneous
#cortesuprema,us government
#worldaidsday,miscellaneous
#votetrumpil,voting
#joetheismann,media
#thedonald,slogans
#declareyourambition,women's rights
#southcarolina,geographic
#pinkou,miscellaneous
#fitn,nomination
#demtownhall,nomination
#teachers4trump,slogans
#laf,miscellaneous
#spiritday,other policy issues
#debat,debates
#dnc,political party
#i,miscellaneous
#enjoy,miscellaneous
#womeninmusic,women's rights
#daca,other policy issues
#with_cruz_you_lose,negative about opponent
#hillaryforprison2016,negative about opponent
#turnttrump,slogans
#gopconvention,nomination
#trumpcountry,slogans
#caucusfortrump,nomination
#circleofenrichment,us government
#aipac2016,foreign policy
#nyc,geographic
#indiana,geographic
#votetrumppence16,voting
#1000blackgirlbooks,minorities
#trump4vets,slogans
#thetonightshow,media
#imvotingbecause,voting
#rtm2016,event
#mexico,foreign policy
#gunviolence,other policy issues
#venezuela,foreign policy
#onebostonday,miscellaneous
#trumptrain,slogans
#withherfirst,slogans
#juntossepuede,slogans
#stopgunviolence,other policy issues
#broadwayforhillary,miscellaneous
#votetrumpma,voting
#usa,miscellaneous
#trumptower,miscellaneous
#apahm,minorities
#davidcameron,foreign policy
#nhdems2016,slogans
#sotu,us government
#rncincle,political party
#primaryday,nomination
#roevwade,women's rights
#gopdebate,debates
#utahcaucus,nomination
#nationalcomingoutday,minorities
#yuge,slogans
#icymi-,miscellaneous
#flashbackfriday,miscellaneous
#megynkellypresents,media
#worldteachersday,miscellaneous
#commanderinchiefforum,event
#mo,geographic
#haileypuckett,miscellaneous
#madeforhistory,miscellaneous
#ford,miscellaneous
#rnc,political party
#cruz,political party
#apologize,miscellaneous
#votetrumpsc,slogans
#lssc,media
#nevertrump,negative about opponent
#failing,miscellaneous
#wemadehistory,miscellaneous
#veterans,other policy issues
#makeamericasafeagain,slogans
#brussels,foreign policy
#scprimary,nomination
#nh,geographic
#paprimary,nomination
#60minutes,media
#tedcruz,political party
#makeamericagreatagain,slogans
#motivationmonday,miscellaneous
#iowacaucus,nomination
#commonlaw,other policy issues
#inprimary,nomination
#the411,miscellaneous
#l,voting
#laurence,other policy issues
#az,geographic
#msprimary,nomination
#lets,slogans
#makeyoutubegreatagain,media
#demsinphilly,political party
#colbert,media
#facebook,media
#eauclaire,nomination
#obamacare,other policy issues
#vaticanwalls,other policy issues
#astronauts,other policy issues
#jonas,miscellaneous
#staystrong,slogans
#potus2016,voting
#southcarolinaprimary,nomination
#presidenttrump,slogans
#goptownhall,political party
#reprorights,women's rights
#blackhistorymonth,minorities
#gplfers,miscellaneous
#medaloffreedom,us government
#snl,media
#johnryder,political party
#openingceremony,miscellaneous
#jenniferrubin,miscellaneous
#potus,us government
#beboldendhyde,women's rights
#votetrump,slogans
#iregistered,voting
#worldwaterday,other policy issues
#bikersfortrump,slogans
#hillary2016,slogans
#rio2016,miscellaneous
#d,miscellaneous
#rip,miscellaneous
#youthday,other policy issues
#voterfraud,voting
#followthemoney,negative about opponent
#philrobertson,miscellaneous
#wakeupamerica,slogans
#titleix,women's rights
#trumpdog,negative about opponent
#trumpyourself,slogans
#goodtrouble,minorities
#nabjnahj16,minorities
#nc,geographic
#trumpsupporters,slogans
#littlemarco,media
#votersspeak,voting
#meetthetrumps,slogans
#michaelmoore,media
#americansamoa,nomination
#bigleagetruth,us government
#votetrumpny,slogans
#bornperfect,slogans
#mayday,other policy issues
#bigleaguetruth,us government
#carrier,miscellaneous
#fightfor15,slogans
#resto,voting
#riprimary,nomination
#sallyrideday,women's rights
#ctprimary,nomination
#imwithh,minorities
#elkhart,miscellaneous
#worldtbday,miscellaneous
#bigleagu,us government
#alconvention2016,miscellaneous
#worldrefugeeday,minorities
#rallyforriley,miscellaneous
#blackmenforbernie,slogans
#bigideas2016,miscellaneous
#nvcaucus,nomination
#debate,debates
#herstory,slogans
#go,miscellaneous
#isis,foreign policy
#blacklivesmatter,minorities
#westerntuesday,nomination
#nationalpantsuitday,miscellaneous
#standwithlouisiana,slogans
#madeinamerica,slogans
#myteacherisweird,miscellaneous
#rattledhillary,negative about opponent
#elections2016,voting
#rollcallvote,voting
#buildthewall,slogans
#media,media
#naturalborn,other policy issues
#hillarykaine2016,slogans
#teamawesome,slogans
#wausau,geographic
#noclintoninwheveragain,negative about opponent
#nevercruz,negative about opponent
#votetrump2016,slogans
#vpdebate,debates
#utah4trump,slogans
#caprimary,nomination
#tellingitlikeitis,miscellaneous
#timepoy,media
#nebraskaprimary,nomination
#proudtob,slogans
#hispanicheritagemon,minorities
#ada,minorities
#slipping,miscellaneous
#msnbctownhall,media
#memorialday,miscellaneous
#makeamericastrongagain,slogans
#yomkippur,minorities
#603forhrc,slogans
#nvdemscaucus,nomination
#trade,other policy issues
#votetrumpvt,voting
#wewanttrump,slogans
#gotvforhrc,slogans
#coryinsc,political party
#fmla23,other policy issues
#philandocastile,event
#mdprimary,nomination
#cincodemayo,minorities
#november8th,voting
#nbcnewsforum,media
#supersaturday,nomination
#brexit,foreign policy
#boycottmacys,miscellaneous
#trumprocksamerica,slogans
#icymi,miscellaneous
#benghazi,foreign policy
#dem,political party
#debates,debates
#newhampshire,geographic
#divodejuarez,miscellaneous
#newjersey,geographic
#donald,slogans
#neverdems,negative about opponent
#dncinphl,political party
#imwithyou,slogans
#fairness4vets,other policy issues
#mahalo,miscellaneous
#trump16,slogans
#stanleycup,event
#ohvotesearly,voting
#ohiovotesearly,voting
#extremevetting,foreign policy
#wattersworld,media
#immigration,foreign policy
#librarianofcongress,us government
#azprimary,nomination
#equalpayday,minorities
#msm,media
#deplorables,slogans
#teamtrumppa,slogans
#lgbt,minorities
#women4trump,slogans
#mattschlapp,miscellaneous
#lovetrumpshate,slogans
#whcd,us government
#kenlangone,political party
#1,miscellaneous
#obamacarefail,other policy issues
#goldenglobe,media
#votetrumpnv,slogans
#primary,nomination
#trumprally,political party
#cbnnews,media
#whd,miscellaneous
#fo,miscellaneous
#taxplan,other policy issues
#debates2016,debates
#khizrkhan,other policy issues
#throwbackthursday,miscellaneous
#supertuesday,nomination
#clintonkaine,slogans
#sb50,other policy issues
#bigleag,us government
#matthew,event
#rogerailes,media
#economy,other policy issues
#iapolitics,us government
#nycpride,event
#debates20,debates
#raisethewage,slogans
#anthonyweiner,political party
#ohhillyes,slogans
#thetoast,women's rights
